Numero_Processo;Numero_Registro_Oferta;Tipo_Oferta;Tipo_Ativo;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Nome_Vendedor;CNPJ_Ofertante;Nome_Ofertante;Rito_Oferta;Modalidade_Oferta;Modalidade_Registro;Modalidade_Dispensa_Registro;Data_Abertura_Processo;Data_Protocolo;Data_Dispensa_Oferta;Data_Registro_Oferta;Data_Inicio_Oferta;Data_Encerramento_Oferta;Emissao;Classe_Ativo;Serie;Especie_Ativo;Forma_Ativo;Data_Emissao;Data_Vencimento;Quantidade_Sem_Lote_Suplementar;Quantidade_No_Lote_Suplementar;Quantidade_Total;Preco_Unitario;Valor_Total;Oferta_Inicial;Oferta_Incentivo_Fiscal;Oferta_Regime_Fiduciario;Tipo_Societario_Emissor;Ultimo_Comunicado;Data_Comunicado;Nr_Pessoa_Fisica;Qtd_Pessoa_Fisica;Nr_Clube_Investimento;Qtd_Clube_Investimento;Nr_Fundos_Investimento;Qtd_Fundos_Investimento;Nr_Entidade_Previdencia_Privada;Qtd_Entidade_Previdencia_Privada;Nr_Companhia_Seguradora;Qtd_Companhia_Seguradora;Nr_Investidor_Estrangeiro;Qtd_Investidor_Estrangeiro;Nr_Instit_Intermed_Partic_Consorcio_Distrib;Qtd_Instit_Intermed_Partic_Consorcio_Distrib;Nr_Instit_Financ_Emissora_Partic_Consorcio;Qtd_Instit_Financ_Emissora_Partic_Consorcio;Nr_Demais_Instit_Financ;Qtd_Demais_Instit_Financ;Nr_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtd_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Nr_Demais_Pessoa_Juridica;Qtd_Demais_Pessoa_Juridica;Nr_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdt_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Nr_Outros;Qtd_Outros;Qtd_Cli_Pessoa_Fisica;Qtd_Cli_Pessoa_Juridica;Qtd_Cli_Pessoa_Juridica_Ligada_Adm;QtD_Cli_Demais_Pessoa_Juridica;Qtd_Cli_Investidor_Estrangeiro;Qtd_Cli_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
RJ-2021-4745;CVM/SRE/RFI/2021/068;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;42.537.438/0001-53;NCH RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO IMOBILIÁRIO;65.913.436/0001-17;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;65.913.436/0001-17;GUIDE INVESTIMENTOS S.A. CORRETORA DE VALORES;ICVM 400 (com registro);Registrada;Concedido;;2021-08-30;2021-08-27;;2021-11-23;;2022-05-22;;;;;NOMINATIVA e ESCRITURAL;;;3500000.0;0.0;3500000.0;100.0;350000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-4780;CVM/SRE/CRI/2021/031;Primária;CERTIFICADO DE RECEBÍVEIS IMOBILIÁRIOS;02.773.542/0001-22;RB SEC COMPANHIA DE SECURITIZAÇÃO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-08-31;2021-08-30;;2021-12-01;;2022-06-01;;;396;;NOMINATIVA e ESCRITURAL;2021-11-15;2031-12-15;400000.0;0.0;400000.0;1000.0;400000000.0;;N;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-4780;CVM/SRE/CRI/2021/032;Primária;CERTIFICADO DE RECEBÍVEIS IMOBILIÁRIOS;02.773.542/0001-22;RB SEC COMPANHIA DE SECURITIZAÇÃO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-08-31;2021-08-30;;2021-12-01;;2022-06-01;;;397;;NOMINATIVA e ESCRITURAL;2021-11-15;2036-12-15;600000.0;0.0;600000.0;1000.0;600000000.0;;N;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-4947;CVM/SRE/RFI/2021/066;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;41.224.330/0001-48;ECOAGRO I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO - IMOBILIÁRIO;65.913.436/0001-17;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;65.913.436/0001-17;GUIDE INVESTIMENTOS S.A. CORRETORA DE VALORES;ICVM 400 (com registro);Registrada;Concedido;;2021-09-06;2021-09-03;;2021-11-12;;2022-05-11;;;;;NOMINATIVA;;;1500000.0;0.0;1500000.0;100.0;150000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-4950;CVM/SRE/RFI/2021/067;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;42.888.292/0001-90;FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS JGP CRÉDITO - FIAGRO - IMOBILIÁRIO;13.293.225/0001-25;ÓRAMA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;13.293.225/0001-25;ÓRAMA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-08;2021-09-06;;2021-11-17;;2022-05-16;;;;;NOMINATIVA e ESCRITURAL;;;1500000.0;0.0;1500000.0;100.0;150000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5011;CVM/SRE/RFI/2021/072;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;CANVAS FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO IMOB;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-13;2021-09-10;;2021-12-10;;2022-06-08;;;;;NOMINATIVA e ESCRITURAL;;;30000000.0;0.0;30000000.0;10.0;300000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5028;CVM/SRE/RFI/2021/070;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;41.272.747/0001-86;PLURAL CRÉDITO AGRO - FIAGRO - IMOBILIÁRIO;27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;;27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-14;2021-09-13;;2021-12-02;;2022-05-31;;;;;NOMINATIVA e ESCRITURAL;;;2000000.0;0.0;2000000.0;100.0;200000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5029;CVM/SRE/RFI/2021/053;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;36.771.692/0001-19;VALORA HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-14;2021-09-13;;2021-09-27;;2022-03-26;;;;;NOMINATIVA e ESCRITURAL;;;16563147.0;0.0;16563147.0;9.66;160000000.02;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5157;CVM/SRE/RFI/2021/055;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;28.729.197/0001-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-16;2021-09-15;;2021-09-29;;2022-03-28;;;;;NOMINATIVA e ESCRITURAL;;;3300000.0;0.0;3300000.0;100.0;330000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-518;CVM/SRE/RFI/2021/029;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;36.445.587/0001-90;VINCI IMOVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIARIO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-02-01;2021-02-01;;2021-05-19;;2021-11-15;;;;;NOMINATIVA;;;3500000.0;0.0;3500000.0;100.0;350000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5273;CVM/SRE/RFI/2022/030;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FUNDO DE INVESTIMENTO IMOBILIÁRIO WARREN LOOP - FII;92.875.780/0001-31;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;;92.875.780/0001-31;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-22;2021-09-21;;2022-06-22;;2022-12-19;;;;;NOMINATIVA e ESCRITURAL;;;2000000.0;0.0;2000000.0;100.0;200000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5274;CVM/SRE/RFI/2021/061;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;24.960.430/0001-13;KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-22;2021-09-21;;2021-10-25;;2022-04-23;;;;;NOMINATIVA e ESCRITURAL;;;10000000.0;0.0;10000000.0;100.6;1006000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-536;CVM/SRE/SEC/2021/028;Secundária;QUOTAS DE FUNDO IMOBILIÁRIO;15.447.108/0001-02;GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.306.294/0001-45;BANCO BTG PACTUAL S/A;Fundo de Investimento Multimercado Norstar Crédito Privado;30.306.294/0001-45;BANCO BTG PACTUAL S/A;ICVM 400 (com registro);Registrada;Concedido;;2021-02-02;2021-02-02;;2021-10-20;;2022-04-20;;;;;NOMINATIVA;;;10375083.0;0.0;10375083.0;101.34;1051410911.22;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5394;CVM/SRE/CRI/2021/036;Primária;CERTIFICADO DE RECEBÍVEIS IMOBILIÁRIOS;08.769.451/0001-08;VIRGO COMPANHIA DE SECURITIZAÇÃO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-28;2021-09-24;;2021-12-17;;2022-06-17;;;378;;NOMINATIVA e ESCRITURAL;2021-12-15;2031-12-15;1001700.0;0.0;1001700.0;1000.0;1001700000.0;;N;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5425;CVM/SRE/RFI/2021/071;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;BB FUNDO DE INVESTIMENTO DE CRÉDITO FIAGRO-IMOBILIÁRIO;02.819.125/0001-73;UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.;;02.819.125/0001-73;UBS BRASIL CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-09-29;2021-09-28;;2021-12-10;;2022-06-08;;;;;NOMINATIVA e ESCRITURAL;;;4000000.0;0.0;4000000.0;100.0;400000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5489;CVM/SRE/RFI/2022/044;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;MAV CRÉDITO - FIAGRO-IMOBILIÁRIO;27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;;27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-01;2021-10-01;;2022-09-02;;2023-03-01;;;;;NOMINATIVA e ESCRITURAL;;;1500000.0;0.0;1500000.0;100.0;150000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5536;CVM/SRE/RFI/2021/074;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-05;2021-10-04;;2021-12-17;;2022-06-15;;;;;NOMINATIVA e ESCRITURAL;;;1500000.0;0.0;1500000.0;100.0;150000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5664;CVM/SRE/RFI/2022/001;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;KIJANI ASAGREEN FIAGRO IMOBILIÁRIO FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-07;2021-10-06;;2022-01-10;;2022-07-09;;;;;NOMINATIVA;;;20000000.0;0.0;20000000.0;10.0;200000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5840;CVM/SRE/RFI/2021/063;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;34.197.811/0001-46;VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-13;2021-10-08;;2021-10-26;;2022-04-24;;;;;NOMINATIVA;;;3667995.0;0.0;3667995.0;95.42;350000082.9;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5873;CVM/SRE/RFI/2021/075;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;42.888.360/0001-11;DEVANT FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO-IMOBILIÁRIO;13.293.225/0001-25;ÓRAMA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;13.293.225/0001-25;ÓRAMA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-14;2021-10-13;;2021-12-21;;2022-06-19;;;;;NOMINATIVA;;;10000000.0;0.0;10000000.0;10.0;100000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5888;CVM/SRE/SEC/2021/029;Secundária;QUOTAS DE FUNDO IMOBILIÁRIO;;FII CAIXA AGÊNCIAS;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL;ICVM 400 (com registro);Registrada;Concedido;;2021-10-14;2021-10-13;;2021-12-27;;2022-06-27;;;;;NOMINATIVA e ESCRITURAL;;;2090621.0;0.0;2090621.0;103.7;216797397.7;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5925;CVM/SRE/RFI/2021/076;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;42.502.802/0001-40;KINEA CREDITAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-18;2021-10-15;;2021-12-27;;2022-06-25;;;;;NOMINATIVA e ESCRITURAL;;;3000000.0;0.0;3000000.0;100.0;300000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5926;CVM/SRE/RFI/2022/004;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;42.479.593/0001-60;ITAÚ ASSET RURAL FIAGRO - IMOBILIÁRIO;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-18;2021-10-15;;2022-01-25;;2022-07-24;;;;;NOMINATIVA e ESCRITURAL;;;50000000.0;0.0;50000000.0;10.0;500000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-5986;CVM/SRE/RFI/2021/077;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;42.502.827/0001-43;VECTIS DATAGRO CRÉDITO AGRONEGÓCIO - FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - IMOBILIÁRIO;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-10-20;2021-10-19;;2021-12-27;;2022-06-25;;;;;NOMINATIVA e ESCRITURAL;;;5000000.0;0.0;5000000.0;100.0;500000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-6302;CVM/SRE/RFI/2022/006;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;39.347.413/0001-82;FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED CAMPINA GRANDE;92.875.780/0001-31;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;;92.875.780/0001-31;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;ICVM 400 (com registro);Registrada;Concedido;;2021-11-09;2021-11-09;;2022-01-28;;2022-07-27;;;;;NOMINATIVA e ESCRITURAL;;;1017000.0;0.0;1017000.0;100.0;101700000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-6348;CVM/SRE/RFI/2021/069;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;37.112.770/0001-36;FUNDO DE INVESTIMENTO IMOBILIÁRIO REC LOGÍSTICA;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-11-12;2021-11-11;;2021-11-26;;2022-05-25;;;;;NOMINATIVA e ESCRITURAL;;;1565109.0;0.0;1565109.0;95.84;150000046.56;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-643;CVM/SRE/RFI/2021/027;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;34.736.432/0001-87;QUATÁ IMOB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO.;27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;;27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-02-08;2021-02-05;;2021-05-13;;2021-11-09;;;;;NOMINATIVA;;;1058000.0;0.0;1058000.0;94.57;100055060.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-6486;CVM/SRE/RFI/2022/005;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;RBR PREMIUM RECEBÍVEIS IMOB FII;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-11-22;2021-11-22;;2022-01-26;;2022-07-25;;;;;NOMINATIVA e ESCRITURAL;;;3000000.0;0.0;3000000.0;101.3;303900000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-6630;CVM/SRE/RFI/2022/007;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;OURINVEST INNOVATION FIAGRO IMOB;13.293.225/0001-25;ÓRAMA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;13.293.225/0001-25;ÓRAMA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-11-30;2021-11-29;;2022-02-04;;2022-08-03;;;;;NOMINATIVA e ESCRITURAL;;;10000000.0;0.0;10000000.0;10.0;100000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-6842;CVM/SRE/RFI/2022/002;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;32.400.250/0001-05;VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-12-13;2021-12-10;;2022-01-12;;2022-07-11;;;;;NOMINATIVA;;;2600104.0;0.0;2600104.0;96.15;249999999.6;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-6908;CVM/SRE/CRI/2022/004;Primária;CERTIFICADO DE RECEBÍVEIS IMOBILIÁRIOS;08.769.451/0001-08;VIRGO COMPANHIA DE SECURITIZAÇÃO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-12-16;2021-12-15;;2022-02-25;;2022-08-25;;;417;;NOMINATIVA e ESCRITURAL;2022-02-15;2032-02-16;1200000.0;0.0;1200000.0;1000.0;1200000000.0;;N;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-7017;CVM/SRE/RFI/2022/003;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;36.642.139/0001-86;MAUÁ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-12-23;2021-12-22;;2022-01-21;;2022-07-20;;;;;NOMINATIVA e ESCRITURAL;;;20000000.0;0.0;20000000.0;10.3;206000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-713;CVM/SRE/RFI/2021/022;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;40.011.225/0001-68;SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO;65.913.436/0001-17;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;65.913.436/0001-17;GUIDE INVESTIMENTOS S.A. CORRETORA DE VALORES;ICVM 400 (com registro);Registrada;Concedido;;2021-02-11;2021-02-10;;2021-04-27;;2021-10-24;;;;;NOMINATIVA;;;2500000.0;0.0;2500000.0;100.0;250000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-81;CVM/SRE/RFI/2021/016;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;34.081.637/0001-71;BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-01-06;2021-01-06;;2021-03-22;;2021-09-18;;;;;NOMINATIVA e ESCRITURAL;;;3966287.0;0.0;3966287.0;100.85;400000043.95;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-820;CVM/SRE/RFI/2021/024;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;36.669.660/0001-07;KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS SUNO 30;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-02-18;2021-02-17;;2021-05-05;;2021-11-01;;;;;NOMINATIVA;;;3046923.0;0.0;3046923.0;98.46;300000038.58;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2021-964;CVM/SRE/CRI/2021/012;Primária;CERTIFICADO DE RECEBÍVEIS IMOBILIÁRIOS;02.773.542/0001-22;RB CAPITAL COMPANHIA DE SECURITIZAÇÃO;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;17.298.092/0001-30;BANCO ITAU BBA  S.A.;ICVM 400 (com registro);Registrada;Concedido;;2021-02-24;2021-02-23;;2021-05-07;;2021-11-07;;;324;;NOMINATIVA e ESCRITURAL;;2036-05-15;1500000.0;0.0;1500000.0;1000.0;1500000000.0;;N;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2022-1082;CVM/SRE/RFI/2022/028;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;MÉRITO RECEBÍVEIS IMOBILIÁRIOS FII;92.875.780/0001-31;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;;92.875.780/0001-31;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;ICVM 400 (com registro);Registrada;Concedido;;2022-03-11;2022-03-11;;2022-06-06;;2022-12-03;;;;;NOMINATIVA;;;840000.0;0.0;840000.0;100.0;84000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-2022-1171;CVM/SRE/CRI/2022/021;Primária;CERTIFICADO DE RECEBÍVEIS IMOBILIÁRIOS;02.773.542/0001-22;OPEA SECURITIZADORA S.A.;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;ICVM 400 (com registro);Registrada;Concedido;;2022-03-17;2022-03-16;;2022-06-23;;2022-12-23;;;489;;NOMINATIVA e ESCRITURAL;2022-04-25;2027-06-15;121300.0;0.0;121300.0;1000.0;121300000.0;;N;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
