Numero_Processo;Numero_Registro_Oferta;Tipo_Oferta;Tipo_Ativo;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Nome_Vendedor;CNPJ_Ofertante;Nome_Ofertante;Rito_Oferta;Modalidade_Oferta;Modalidade_Registro;Modalidade_Dispensa_Registro;Data_Abertura_Processo;Data_Protocolo;Data_Dispensa_Oferta;Data_Registro_Oferta;Data_Inicio_Oferta;Data_Encerramento_Oferta;Emissao;Classe_Ativo;Serie;Especie_Ativo;Forma_Ativo;Data_Emissao;Data_Vencimento;Quantidade_Sem_Lote_Suplementar;Quantidade_No_Lote_Suplementar;Quantidade_Total;Preco_Unitario;Valor_Total;Oferta_Inicial;Oferta_Incentivo_Fiscal;Oferta_Regime_Fiduciario;Tipo_Societario_Emissor;Ultimo_Comunicado;Data_Comunicado;Nr_Pessoa_Fisica;Qtd_Pessoa_Fisica;Nr_Clube_Investimento;Qtd_Clube_Investimento;Nr_Fundos_Investimento;Qtd_Fundos_Investimento;Nr_Entidade_Previdencia_Privada;Qtd_Entidade_Previdencia_Privada;Nr_Companhia_Seguradora;Qtd_Companhia_Seguradora;Nr_Investidor_Estrangeiro;Qtd_Investidor_Estrangeiro;Nr_Instit_Intermed_Partic_Consorcio_Distrib;Qtd_Instit_Intermed_Partic_Consorcio_Distrib;Nr_Instit_Financ_Emissora_Partic_Consorcio;Qtd_Instit_Financ_Emissora_Partic_Consorcio;Nr_Demais_Instit_Financ;Qtd_Demais_Instit_Financ;Nr_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtd_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Nr_Demais_Pessoa_Juridica;Qtd_Demais_Pessoa_Juridica;Nr_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdt_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Nr_Outros;Qtd_Outros;Qtd_Cli_Pessoa_Fisica;Qtd_Cli_Pessoa_Juridica;Qtd_Cli_Pessoa_Juridica_Ligada_Adm;QtD_Cli_Demais_Pessoa_Juridica;Qtd_Cli_Investidor_Estrangeiro;Qtd_Cli_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
RJ-1998-1844;CVM/SRE/RFI/1998/019;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FII GEO GUARARAPES;;;;;FUNDO INVEST. IMOB. GEO GUARAR;ICVM 400 (com registro);Registrada;Concedido;;1998-05-08;;;1998-07-22;;1999-01-22;;;1;;;1998-05-01;;1583000.0;0.0;1583000.0;1.03;1630000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-1915;CVM/SRE/RFI/1998/016;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. SENIOR VILLAGE;;;;;FUNDO INVEST. IMOB. SENIOR VIL;ICVM 400 (com registro);Registrada;Concedido;;1998-05-13;;;1998-06-08;;1998-12-08;;;;;;;;136000.0;0.0;136000.0;100.0;13600000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-1940;CVM/SRE/RFI/1998/020;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FUNDO JK DE INVESTIMENTOS;;;;;FUNDO JK INVESTIMENTO IMOBILIA;ICVM 400 (com registro);Registrada;Concedido;;1998-05-14;;;1998-07-29;;;;;20;;;;;12099544.0;0.0;12099544.0;1.33;16100016.26;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;1;;;;;36514.0;0.0;36514.0;364.92;13324688.88;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;2;;;;;7784.0;0.0;7784.0;364.92;2840537.28;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;3;;;;;13755.0;0.0;13755.0;364.92;5019474.6;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;4;;;;;12831.0;0.0;12831.0;364.92;4682288.52;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;5;;;;;20991.0;0.0;20991.0;364.92;7660035.72;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;6;;;;;24355.0;0.0;24355.0;364.92;8887626.6;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;7;;;;;15722.0;0.0;15722.0;364.92;5737272.24;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2126;CVM/SRE/RFI/1998/018;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. PáTEOS MOINHOS DE VENTO;;;;;FUNDO INVEST IMOB PATEO MOINHO;ICVM 400 (com registro);Registrada;Concedido;;1998-05-25;;;1998-06-29;;;;;8;;;;;24321.0;0.0;24321.0;364.92;8875219.32;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-2920;CVM/SRE/RFI/1998/021;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO. INVEST. IMOB. SUPERQUADRA 311 NORTE;;;;;FDO INVEST IMOB SUPERQUADRA 31;ICVM 400 (com registro);Registrada;Concedido;;1998-06-29;;;1998-08-25;;1999-02-25;;;1;;;;;507950.0;0.0;507950.0;100.0;50795000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-3325;CVM/SRE/RFI/1998/022;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;RESIDENCIAL MONTE CARLO MATãO SãO PAULO FII;;;;;RESIDENCIAL MONTE CARLO MATÃO SÃO PAULO FDO INVEST IMOB;ICVM 400 (com registro);Registrada;Concedido;;1998-07-28;;;1998-09-21;;;;;1;;;;;1000.0;0.0;1000.0;550.0;550000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-367;CVM/SRE/RFI/1998/008;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FUNDO DE INVEST. IMOBILIARIOS HERMES;;;;;FUNDO INVESTIMENTOS IMOB HERME;ICVM 400 (com registro);Registrada;Concedido;;1998-01-26;;;1998-03-13;;1998-09-13;;;;;;;;35560.0;0.0;35560.0;892.1;31723076.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-3796;CVM/SRE/RFI/1998/026;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FUNDO DE INVESTIMENTO IMOBILIáRIO BUSCA VIDA;;;;;FDO INVEST IMOB BUSCA VIDA;ICVM 400 (com registro);Registrada;Concedido;;1998-08-27;;;1998-10-23;;1999-04-23;;;;;;;;33700000.0;0.0;33700000.0;1.0;33700000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
